iter	MultiClass
287	0.05413093522
288	0.05379951826
289	0.05361448993
290	0.0534192391
291	0.05315896409
292	0.05295088
293	0.05267239995
294	0.05249954346
295	0.05219913477
296	0.05200054127
297	0.05166424831
298	0.05144181346
299	0.05123880958
300	0.05098097816
301	0.05075186354
302	0.05043358213
303	0.05022415438
304	0.04998838466
305	0.0497947445
306	0.04957921739
307	0.04940164997
308	0.04915499141
309	0.04894198643
310	0.04874021411
311	0.04853328515
312	0.04823261198
313	0.04808204121
314	0.0477865055
315	0.04762083007
316	0.04746696514
317	0.04726131216
318	0.04712346471
319	0.04694687177
320	0.04674901241
321	0.04664760085
322	0.04645138129
323	0.0462602745
324	0.04610381919
325	0.04590506489
326	0.04566294928
327	0.04551047246
328	0.04539222044
329	0.04524897259
330	0.04503213452
331	0.04487366093
332	0.04477031691
333	0.04462464612
334	0.04438744444
335	0.04416741263
336	0.04391669366
337	0.04378700513
338	0.04361983051
339	0.04349717101
340	0.0432651598
341	0.04306791333
342	0.04289328146
343	0.042694222
344	0.04253323129
345	0.04236754593
346	0.04220072257
347	0.04202370958
348	0.04187361303
349	0.04164827903
350	0.0414343246
351	0.04128261093
352	0.04113941495
353	0.04100058043
354	0.04082451198
355	0.04067929832
356	0.04058859262
357	0.0404148767
358	0.04025893131
359	0.04013744798
360	0.04003013237
361	0.03990710877
362	0.03986990584
363	0.0397063651
364	0.03955282615
365	0.03941691051
366	0.03926433848
367	0.0391487778
368	0.03906219001
369	0.03898891665
370	0.03889637051
371	0.03879893368
372	0.03868358464
373	0.0385141796
374	0.03841909684
375	0.03830425122
376	0.03819103634
377	0.03804789883
378	0.03791918321
379	0.03781243135
380	0.03765933857
381	0.03746416865
382	0.03732206918
383	0.03719679378
384	0.03710046564
385	0.03701731027
386	0.03692069278
387	0.03674696413
388	0.03660380397
389	0.03648444516
390	0.03633475325
391	0.03615567935
392	0.03606348584
393	0.03596345526
394	0.03586837124
395	0.03573482208
396	0.03562016322
397	0.03551461313
398	0.03543145823
399	0.03534655926
400	0.03520433714
401	0.0350871763
402	0.03502193399
403	0.03498250902
404	0.03484212716
405	0.03466712277
406	0.03458113867
407	0.03446410973
408	0.03434106668
409	0.03424218277
410	0.03411976174
411	0.03400951851
412	0.03393417729
413	0.03383416373
414	0.03374908353
415	0.03365482865
416	0.03360220131
417	0.03352994872
418	0.03339660922
419	0.03333742991
420	0.03325364797
421	0.03312842053
422	0.03304141933
423	0.03293955038
424	0.03284822889
425	0.03278186819
426	0.03266107719
427	0.03256946155
428	0.03249655375
429	0.03240430247
430	0.03226182236
431	0.03218292767
432	0.03210090514
433	0.0319780023
434	0.03189128378
435	0.03183033095
436	0.03174946367
437	0.03168223833
438	0.03152070252
439	0.03146874193
440	0.03135181604
441	0.03119840238
442	0.0310919197
443	0.03100807501
444	0.0309459922
445	0.03086902783
446	0.03078363525
447	0.03068835349
448	0.03061458666
449	0.03055466178
450	0.03048869557
451	0.0303675943
452	0.03029094275
453	0.03021561346
454	0.03013477487
455	0.03003275589
456	0.02997105298
457	0.02990153277
458	0.02979840492
459	0.02969883101
460	0.02960292401
461	0.0295228652
462	0.02946128172
463	0.02938911491
464	0.02933293266
465	0.0292552545
466	0.02918997364
467	0.02908440818
468	0.02902929578
469	0.02894914727
470	0.02880513353
471	0.02873537455
472	0.02868582301
473	0.02860499693
474	0.02852197777
475	0.02845813102
476	0.02838784994
477	0.02827802376
478	0.02815756836
479	0.02810704928
480	0.02804100158
481	0.02796932723
482	0.02790423249
483	0.02783975166
484	0.02777358748
485	0.02768479772
486	0.0276142542
487	0.02754108877
488	0.02748972612
489	0.02742820064
490	0.02738102456
491	0.02732449622
492	0.0272509955
493	0.02719205499
494	0.02713797106
495	0.02707489103
496	0.02699236086
497	0.0269184142
498	0.02680920971
499	0.02673673158
